Code,Title,Size,Price,Link
Cód. 34467,Sobrado Vinhedos,135m²,420000.0,https://www.bassanesi.com.br/imovel/34467/sobrado-para-comprar-com-135m-3-dormitorios-vinhedos-em-caxias-do-sul/
Cód. 34466,Apartamento Santa Lúcia,77m²,369000.0,https://www.bassanesi.com.br/imovel/34466/apartamento-para-comprar-com-77m-3-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34465,Apartamento Charqueadas,75m²,530000.0,https://www.bassanesi.com.br/imovel/34465/apartamento-para-comprar-com-75m-2-dormitorios-charqueadas-em-caxias-do-sul/
Cód. 34464,Apartamento Panazzolo,91m²,990000.0,https://www.bassanesi.com.br/imovel/34464/apartamento-para-comprar-com-91m-3-dormitorios-panazzolo-em-caxias-do-sul/
Cód. 34463,Apartamento Vinhedos,50m²,350000.0,https://www.bassanesi.com.br/imovel/34463/apartamento-para-comprar-com-50m-2-dormitorios-vinhedos-em-caxias-do-sul/
Cód. 34461,Apartamento Universitário,103m²,370000.0,https://www.bassanesi.com.br/imovel/34461/apartamento-para-comprar-com-103m-3-dormitorios-universitario-em-caxias-do-sul/
Cód. 34460,Apartamento Santa Lúcia,61m²,299000.0,https://www.bassanesi.com.br/imovel/34460/apartamento-para-comprar-com-61m-2-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34459,Apartamento Rio Branco,260m²,1190000.0,https://www.bassanesi.com.br/imovel/34459/apartamento-para-comprar-com-260m-3-dormitorios-rio-branco-em-caxias-do-sul/
Cód. 34458,Terreno Madureira,680m²,1360000.0,https://www.bassanesi.com.br/imovel/34458/terreno-para-comprar-com-680m-madureira-em-caxias-do-sul/
Cód. 34456,Apartamento Esplanada,57m²,260000.0,https://www.bassanesi.com.br/imovel/34456/apartamento-para-comprar-com-57m-2-dormitorios-esplanada-em-caxias-do-sul/
Cód. 34455,Terreno Vila Seca,762m²,130000.0,https://www.bassanesi.com.br/imovel/34455/terreno-para-comprar-com-762m-vila-seca-em-caxias-do-sul/
Cód. 34453,Sobrado São Caetano,94m²,330000.0,https://www.bassanesi.com.br/imovel/34453/sobrado-para-comprar-com-94m-3-dormitorios-sao-caetano-em-caxias-do-sul/
Cód. 34442,Casa São Ciro,267m²,9800000.0,https://www.bassanesi.com.br/imovel/34442/casa-para-comprar-com-267m-4-dormitorios-sao-ciro-em-caxias-do-sul/
Cód. 34441,Terreno Jardim América,232m²,150000.0,https://www.bassanesi.com.br/imovel/34441/terreno-para-comprar-com-232m-jardim-america-em-caxias-do-sul/
Cód. 34440,Casa Exposição,184m²,1378000.0,https://www.bassanesi.com.br/imovel/34440/casa-para-comprar-com-184m-3-dormitorios-exposicao-em-caxias-do-sul/
Cód. 34439,Apartamento Pio X,92m²,390000.0,https://www.bassanesi.com.br/imovel/34439/apartamento-para-comprar-com-92m-3-dormitorios-pio-x-em-caxias-do-sul/
Cód. 34436,Apartamento São Pelegrino,80m²,360000.0,https://www.bassanesi.com.br/imovel/34436/apartamento-para-comprar-com-80m-3-dormitorios-sao-pelegrino-em-caxias-do-sul/
Cód. 34435,Terreno Nossa Senhora das Graças,,3500000.0,https://www.bassanesi.com.br/imovel/34435/terreno-para-comprar-nossa-senhora-das-gracas-em-caxias-do-sul/
Cód. 34432,Apartamento Madureira,74m²,560000.0,https://www.bassanesi.com.br/imovel/34432/apartamento-para-comprar-com-74m-2-dormitorios-madureira-em-caxias-do-sul/
