Code,Title,Size,Price,Link
Cód. 34469,Terreno Forqueta,320m²,R$ 215.000,https://www.bassanesi.com.br/imovel/34469/terreno-para-comprar-com-320m-forqueta-em-caxias-do-sul/
Cód. 34468,Terreno Forqueta,320m²,R$ 215.000,https://www.bassanesi.com.br/imovel/34468/terreno-para-comprar-com-320m-forqueta-em-caxias-do-sul/
Cód. 34467,Sobrado Vinhedos,135m²,R$ 420.000,https://www.bassanesi.com.br/imovel/34467/sobrado-para-comprar-com-135m-3-dormitorios-vinhedos-em-caxias-do-sul/
Cód. 34466,Apartamento Santa Lúcia,77m²,R$ 369.000,https://www.bassanesi.com.br/imovel/34466/apartamento-para-comprar-com-77m-3-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34465,Apartamento Charqueadas,75m²,R$ 530.000,https://www.bassanesi.com.br/imovel/34465/apartamento-para-comprar-com-75m-2-dormitorios-charqueadas-em-caxias-do-sul/
Cód. 34464,Apartamento Panazzolo,91m²,R$ 990.000,https://www.bassanesi.com.br/imovel/34464/apartamento-para-comprar-com-91m-3-dormitorios-panazzolo-em-caxias-do-sul/
Cód. 34463,Apartamento Vinhedos,50m²,R$ 350.000,https://www.bassanesi.com.br/imovel/34463/apartamento-para-comprar-com-50m-2-dormitorios-vinhedos-em-caxias-do-sul/
Cód. 34461,Apartamento Universitário,103m²,R$ 370.000,https://www.bassanesi.com.br/imovel/34461/apartamento-para-comprar-com-103m-3-dormitorios-universitario-em-caxias-do-sul/
Cód. 34460,Apartamento Santa Lúcia,61m²,R$ 299.000,https://www.bassanesi.com.br/imovel/34460/apartamento-para-comprar-com-61m-2-dormitorios-santa-lucia-em-caxias-do-sul/
Cód. 34459,Apartamento Rio Branco,260m²,R$ 1.190.000,https://www.bassanesi.com.br/imovel/34459/apartamento-para-comprar-com-260m-3-dormitorios-rio-branco-em-caxias-do-sul/
Cód. 34458,Terreno Madureira,680m²,R$ 1.360.000,https://www.bassanesi.com.br/imovel/34458/terreno-para-comprar-com-680m-madureira-em-caxias-do-sul/
Cód. 34456,Apartamento Esplanada,57m²,R$ 260.000,https://www.bassanesi.com.br/imovel/34456/apartamento-para-comprar-com-57m-2-dormitorios-esplanada-em-caxias-do-sul/
Cód. 34455,Terreno Vila Seca,762m²,R$ 130.000,https://www.bassanesi.com.br/imovel/34455/terreno-para-comprar-com-762m-vila-seca-em-caxias-do-sul/
Cód. 34453,Sobrado São Caetano,94m²,R$ 330.000,https://www.bassanesi.com.br/imovel/34453/sobrado-para-comprar-com-94m-3-dormitorios-sao-caetano-em-caxias-do-sul/
Cód. 34442,Casa São Ciro,267m²,R$ 9.800.000,https://www.bassanesi.com.br/imovel/34442/casa-para-comprar-com-267m-4-dormitorios-sao-ciro-em-caxias-do-sul/
Cód. 34441,Terreno Jardim América,232m²,R$ 150.000,https://www.bassanesi.com.br/imovel/34441/terreno-para-comprar-com-232m-jardim-america-em-caxias-do-sul/
Cód. 34440,Casa Exposição,184m²,R$ 1.378.000,https://www.bassanesi.com.br/imovel/34440/casa-para-comprar-com-184m-3-dormitorios-exposicao-em-caxias-do-sul/
Cód. 34439,Apartamento Pio X,92m²,R$ 390.000,https://www.bassanesi.com.br/imovel/34439/apartamento-para-comprar-com-92m-3-dormitorios-pio-x-em-caxias-do-sul/
Cód. 34436,Apartamento São Pelegrino,80m²,R$ 360.000,https://www.bassanesi.com.br/imovel/34436/apartamento-para-comprar-com-80m-3-dormitorios-sao-pelegrino-em-caxias-do-sul/
Cód. 34435,Terreno Nossa Senhora das Graças,,R$ 3.500.000,https://www.bassanesi.com.br/imovel/34435/terreno-para-comprar-nossa-senhora-das-gracas-em-caxias-do-sul/
Cód. 34432,Apartamento Madureira,74m²,R$ 560.000,https://www.bassanesi.com.br/imovel/34432/apartamento-para-comprar-com-74m-2-dormitorios-madureira-em-caxias-do-sul/
